10/10/2014 | 14:12:58 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4645
10/10/2014 | 14:13:01 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:6315
10/10/2014 | 14:13:02 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:13:02 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:6205
10/10/2014 | 14:13:03 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4650
10/10/2014 | 14:13:03 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:6135
10/10/2014 | 14:13:04 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4640
10/10/2014 | 14:13:04 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:6085
10/10/2014 | 14:13:04 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4655
10/10/2014 | 14:13:05 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5875
10/10/2014 | 14:13:05 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4655
10/10/2014 | 14:13:05 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5875
10/10/2014 | 14:13:05 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4655
10/10/2014 | 14:13:05 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5875
10/10/2014 | 14:13:06 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4655
10/10/2014 | 14:13:06 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5715
10/10/2014 | 14:13:06 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4655
10/10/2014 | 14:13:06 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5715
10/10/2014 | 14:13:07 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4660
10/10/2014 | 14:13:07 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5630
10/10/2014 | 14:13:07 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4660
10/10/2014 | 14:13:08 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5630
10/10/2014 | 14:13:08 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4665
10/10/2014 | 14:13:08 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5575
10/10/2014 | 14:13:08 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5575
10/10/2014 | 14:13:09 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4665
10/10/2014 | 14:13:09 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4665
10/10/2014 | 14:13:09 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5535
10/10/2014 | 14:13:09 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4665
10/10/2014 | 14:13:09 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5535
10/10/2014 | 14:13:10 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4650
10/10/2014 | 14:13:10 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5515
10/10/2014 | 14:13:10 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4650
10/10/2014 | 14:13:10 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5515
10/10/2014 | 14:13:11 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4655
10/10/2014 | 14:13:12 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5470
10/10/2014 | 14:13:13 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4650
10/10/2014 | 14:13:13 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5470
10/10/2014 | 14:13:13 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4645
10/10/2014 | 14:13:14 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5465
10/10/2014 | 14:13:15 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4670
10/10/2014 | 14:13:15 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5435
10/10/2014 | 14:13:15 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4670
10/10/2014 | 14:13:15 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5435
10/10/2014 | 14:13:16 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4655
10/10/2014 | 14:13:16 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5445
10/10/2014 | 14:13:16 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4655
10/10/2014 | 14:13:16 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5445
10/10/2014 | 14:13:17 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4630
10/10/2014 | 14:13:17 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5445
10/10/2014 | 14:13:19 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4645
10/10/2014 | 14:13:19 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5445
10/10/2014 | 14:13:19 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4645
10/10/2014 | 14:13:19 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5445
10/10/2014 | 14:13:20 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4665
10/10/2014 | 14:13:21 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5445
10/10/2014 | 14:13:22 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4675
10/10/2014 | 14:13:22 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5460
10/10/2014 | 14:13:22 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4675
10/10/2014 | 14:13:22 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5460
10/10/2014 | 14:13:22 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4690
10/10/2014 | 14:13:23 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5470
10/10/2014 | 14:13:23 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4690
10/10/2014 | 14:13:23 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5470
10/10/2014 | 14:13:23 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4665
10/10/2014 | 14:13:24 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5475
10/10/2014 | 14:13:24 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4665
10/10/2014 | 14:13:24 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5475
10/10/2014 | 14:13:25 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4630
10/10/2014 | 14:13:25 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5475
10/10/2014 | 14:13:25 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4630
10/10/2014 | 14:13:25 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5475
10/10/2014 | 14:13:26 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4625
10/10/2014 | 14:13:26 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5455
10/10/2014 | 14:13:26 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4625
10/10/2014 | 14:13:26 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5455
